  8.3100000e-003  7.5600000e-003  5.2500000e-003  9.3800000e-003  4.4700000e-003
  8.5600000e-003  2.9300000e-003  2.9900000e-003  1.7400000e-003  6.2700000e-003
  7.7700000e-003  2.6600000e-003  2.9500000e-003  4.2793700e-004  8.1000000e-003
  6.7400000e-003  6.6000000e-003  4.3776000e-004  1.0200000e-003  8.1400000e-003
  3.0800000e-003  9.4900000e-003  1.4000000e-003  5.9600000e-003  9.9800000e-003
  1.5200000e-003  6.6900000e-003  6.2800000e-003  8.2700000e-003  5.6700000e-003
  7.5400000e-003  5.9300000e-003  2.2100000e-003  1.8700000e-003  1.0600000e-003
  3.4400000e-003  4.4500000e-003  4.1700000e-003  4.0300000e-003  8.2500000e-003
  6.6300000e-003  9.1102800e-004  3.2000000e-003  6.8500000e-003  5.0600000e-003
  4.0400000e-003  9.7200000e-003  2.8400000e-003  5.5400000e-003  5.0600000e-003
  3.5700000e-003  9.4900000e-003  3.3400000e-003  8.5900000e-003  7.1600000e-003
  2.1800000e-003  4.9900000e-003  2.4000000e-003  1.7594300e-004  9.2444200e-004
  6.9500000e-003  5.0900000e-003  5.2300000e-003  3.9000000e-003  3.2900000e-003
  9.5300000e-003  6.5788700e-004  6.5000000e-003  9.8400000e-003  6.8300000e-003
  6.1600000e-003  6.9300000e-003  3.1800000e-003  5.8000000e-003  7.7500000e-003
  5.4900000e-003  8.5300000e-003  8.1556500e-004  2.7100000e-003  2.2700000e-003
  4.6800000e-003  2.4800000e-003  7.7000000e-003  6.7700000e-003  2.3100000e-003
  3.6500000e-003  2.1800000e-003  9.2000000e-003  8.2400000e-003  9.6700000e-003
  3.5392200e-004  7.2400000e-003  5.9100000e-003  5.0400000e-003  9.7900000e-003
  6.0700000e-003  8.3300000e-003  5.5600000e-003  8.6100000e-003  2.9900000e-003
  3.7200000e-003  1.3300000e-003  7.9900000e-003  7.4100000e-003  1.8100000e-003
  9.8100000e-003  1.0500000e-003  6.0163500e-004  5.0300000e-003  1.7500000e-003
  5.9500000e-003  4.3100000e-003  1.8100000e-003  2.4500000e-003  5.5200000e-003
  6.4400000e-003  2.5700000e-003  1.0200000e-003  5.3800000e-003  5.5500000e-003
  2.7800000e-003  8.3400000e-003  9.5600000e-003  7.9300000e-003  2.7384900e-005
  6.9300000e-003  4.0200000e-003  7.0500000e-003  4.2000000e-003  9.6400000e-003
  2.9700000e-003  6.9495900e-004  8.2300000e-003  8.9400000e-003  4.2600000e-003
  9.8300000e-003  4.7400000e-003  9.4300000e-003  7.7300000e-003  8.4700000e-003
  5.3700000e-003  2.3400000e-003  4.0900000e-003  5.7700000e-003  1.3700000e-003
  8.9200000e-003  5.3900000e-003  5.0600000e-003  4.5700000e-003  2.5400000e-003
  3.7600000e-003  3.7900000e-003  3.3900000e-003  6.7700000e-003  6.4900000e-003
